Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/19/2019 7:47:33 PM,18081,4867,9090,4160,3930,12945,2177,19605,53,50,69,255
1/19/2019 7:47:34 PM,4961,11710,13717,10968,3157,17352,16409,32668,53,41,67,255
1/19/2019 7:47:35 PM,2978,6939,5923,12219,17247,13715,5853,37432,53,64,61,255
1/19/2019 7:47:36 PM,8870,7043,4017,6452,15272,24800,6005,29495,53,66,53,255
1/19/2019 7:47:37 PM,10542,15318,10651,20448,14790,21316,3066,24455,53,74,50,255
1/19/2019 7:47:38 PM,2317,22107,13763,6732,16006,16401,7358,39886,53,84,51,255
1/19/2019 7:47:39 PM,16047,26097,21226,6198,13058,19348,3047,36053,53,74,64,255
1/19/2019 7:47:40 PM,6345,25569,13206,8838,13619,15364,5698,42845,53,69,80,255
1/19/2019 7:47:41 PM,8899,6238,3697,10308,20923,8998,10010,57430,53,80,74,255
1/19/2019 7:47:42 PM,19671,7419,28341,11431,22596,41570,5112,18744,53,78,66,255
1/19/2019 7:47:43 PM,1942,45253,8271,22385,18884,25603,10410,25125,53,81,63,255
1/19/2019 7:47:44 PM,8576,6427,15385,7607,9028,26703,3490,20907,53,80,56,255
1/19/2019 7:47:45 PM,2413,8005,14923,22714,34899,7672,4197,39358,53,80,60,255
1/19/2019 7:47:46 PM,6218,6058,13657,6372,18267,12963,4134,34501,53,84,60,255
1/19/2019 7:47:47 PM,4237,29263,17559,11747,17276,4661,9060,39528,53,87,64,255
1/19/2019 7:47:48 PM,35281,16711,34220,9088,8661,22866,9245,34737,53,83,75,255
1/19/2019 7:47:49 PM,14949,4821,6318,20040,11387,14541,7931,34993,53,75,69,255
1/19/2019 7:47:50 PM,2340,13642,19175,4816,13678,4499,6095,33706,53,70,81,255
1/19/2019 7:47:51 PM,4853,33512,13655,18675,27628,39049,8736,23735,53,70,74,255
1/19/2019 7:47:52 PM,4241,4740,7309,19237,13218,4204,4192,54269,53,87,60,255
1/19/2019 7:47:53 PM,7988,9385,2843,26941,12643,14604,6382,26841,53,87,57,255
1/19/2019 7:47:54 PM,16588,10807,11529,15062,17913,24556,7280,28693,53,88,44,255
1/19/2019 7:47:55 PM,16731,11465,11967,9502,6079,7180,12523,20968,53,83,50,255
1/19/2019 7:47:56 PM,1791,6786,5419,15092,18310,11586,8534,25591,53,83,48,255
1/19/2019 7:47:57 PM,4635,18269,14321,19814,20306,16325,10455,37551,53,83,57,255
1/19/2019 7:47:58 PM,150836,2606,4223,23821,10099,6656,6643,49017,53,87,51,255
