Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/19/2019 8:00:25 PM,299392,16346,9297,3889,13410,23584,6707,47936,38,70,51,255
1/19/2019 8:00:26 PM,28520,4658,11468,9632,5943,14294,3762,5062,38,77,57,255
1/19/2019 8:00:27 PM,98021,11549,12339,9848,4576,28866,7412,42088,38,64,54,255
1/19/2019 8:00:28 PM,14907,6010,24505,12520,17193,36166,11553,24215,38,56,56,255
1/19/2019 8:00:29 PM,320162,31705,12722,24115,20449,34925,13884,23661,38,54,54,255
1/19/2019 8:00:30 PM,1007680,1887,22030,8151,9977,57157,4524,4876,38,51,50,255
1/19/2019 8:00:31 PM,182686,58620,42976,36508,50082,181080,36383,22846,38,56,47,255
1/19/2019 8:00:32 PM,16149,13853,2780,9972,3359,68421,2671,16106,38,43,40,255
1/19/2019 8:00:33 PM,9943,23758,7915,18947,46974,44932,11329,31710,38,50,37,255
1/19/2019 8:00:34 PM,3432,7251,22648,3596,11910,16392,6514,41363,38,54,47,255
1/19/2019 8:00:35 PM,6801,22809,6573,9542,11057,22529,8370,47570,38,56,53,255
1/19/2019 8:00:36 PM,10478,7309,7869,14456,8108,8152,7640,47004,38,74,61,255
1/19/2019 8:00:37 PM,3466,9371,7280,9037,6636,15679,4426,38819,38,64,66,255
1/19/2019 8:00:38 PM,13158,9912,12544,7398,10742,10201,3450,58800,38,66,64,255
1/19/2019 8:00:39 PM,5932,34160,16393,24849,22795,9241,4572,57561,38,70,66,255
1/19/2019 8:00:40 PM,1184,5388,34312,5680,14217,9404,4081,35277,38,69,77,255
1/19/2019 8:00:41 PM,9810,9406,8195,18905,12940,12046,6364,35246,38,77,74,255
1/19/2019 8:00:42 PM,13533,13484,4539,16769,8511,9400,6413,34787,38,77,69,255
1/19/2019 8:00:43 PM,16656,11060,1923,17584,3728,36794,2851,35310,38,63,54,255
1/19/2019 8:00:44 PM,8750,3508,10175,11012,14046,19932,2157,26691,38,64,41,255
1/19/2019 8:00:45 PM,11622,60377,67839,6453,11378,14094,3603,42508,38,51,63,255
1/19/2019 8:00:46 PM,1848,29061,10112,32780,10928,7153,10394,37830,38,50,66,255
1/19/2019 8:00:47 PM,5628,11000,10114,6741,6364,34445,4403,36647,38,53,75,255
1/19/2019 8:00:48 PM,4750,2642,12915,13115,8399,14883,4960,28096,38,51,78,255
1/19/2019 8:00:49 PM,1429,11034,15557,15290,9553,31167,3440,32796,38,56,57,255
1/19/2019 8:00:50 PM,4207,1831,15131,14048,4762,26023,3172,24934,38,51,51,255
