Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/19/2019 7:55:47 PM,5286,18760,12706,17436,15839,13043,4562,20075,79,75,56,255
1/19/2019 7:55:48 PM,3338,27072,14891,7171,15836,11529,9374,52087,79,67,63,255
1/19/2019 7:55:49 PM,4518,13987,9087,11787,19093,11670,6265,26614,79,75,63,255
1/19/2019 7:55:50 PM,5161,5209,2912,16938,7003,17027,6638,14681,79,77,54,255
1/19/2019 7:55:51 PM,11866,13277,17136,7028,18408,43916,4453,17508,79,70,50,255
1/19/2019 7:55:52 PM,3441,17115,9197,4799,10888,24186,2959,29601,79,67,44,255
1/19/2019 7:55:53 PM,4477,32337,5568,12335,6626,5770,10036,32807,79,57,53,255
1/19/2019 7:55:54 PM,5090,6969,27153,9207,13279,10837,14651,23885,79,57,69,255
1/19/2019 7:55:55 PM,4694,13118,14017,7165,9941,16524,6733,14043,79,57,75,255
1/19/2019 7:55:56 PM,15772,20781,56686,20853,13984,23619,4180,17527,79,54,81,255
1/19/2019 7:55:57 PM,10487,21783,9548,8973,11219,7228,14825,12435,79,60,80,255
1/19/2019 7:55:58 PM,7316,11038,8448,14968,22125,8133,6267,27008,79,67,70,255
1/19/2019 7:55:59 PM,10641,17122,8834,15341,7730,6782,4033,14708,79,67,70,255
1/19/2019 7:56:00 PM,2285,2125,16821,15191,8578,13039,5651,17430,79,75,63,255
1/19/2019 7:56:01 PM,3401,13857,9877,31628,7973,6984,3700,43725,79,75,54,255
1/19/2019 7:56:02 PM,7565,6936,12183,3797,9987,18052,3371,26284,79,64,57,255
1/19/2019 7:56:03 PM,12764,8627,17256,11128,16181,21151,10740,11137,79,67,54,255
1/19/2019 7:56:04 PM,1502,4254,10475,21792,18437,24803,5926,42228,79,74,47,255
1/19/2019 7:56:05 PM,3993,3877,11201,11862,12932,17848,11059,42665,79,75,43,255
1/19/2019 7:56:06 PM,15045,35149,10120,23499,11940,37104,17506,25774,79,69,44,255
1/19/2019 7:56:07 PM,4697,2809,34910,10966,8832,20824,5923,23149,79,63,50,255
1/19/2019 7:56:08 PM,20041,1222,14859,8685,9888,39577,2783,21800,79,53,51,255
1/19/2019 7:56:09 PM,6911,18393,21834,10688,11045,13189,6045,34946,79,48,61,255
1/19/2019 7:56:10 PM,3992,5255,10078,4169,17301,13616,16962,15945,79,61,57,255
1/19/2019 7:56:11 PM,14575,16358,4933,9548,14235,10599,5290,17333,79,69,53,255
1/19/2019 7:56:12 PM,4619,25849,14142,10000,13785,12192,2857,30622,79,74,66,255
