Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/19/2019 8:56:26 PM,3189,6227,11167,17272,10779,15175,5383,87783,59,63,53,255
1/19/2019 8:56:27 PM,6661,47146,16018,11552,8618,10197,2637,88817,59,80,80,255
1/19/2019 8:56:28 PM,4829,15556,23598,9195,7102,11352,8275,44570,59,67,88,255
1/19/2019 8:56:29 PM,1292,2042,12674,10297,6348,7883,5832,58333,59,77,87,255
1/19/2019 8:56:30 PM,12131,14795,9282,11466,10344,1752,4176,29244,59,78,93,255
1/19/2019 8:56:31 PM,31220,6316,6591,13638,7849,5289,4480,32075,59,90,80,255
1/19/2019 8:56:32 PM,5294,6462,25512,28883,9131,19444,5405,58721,59,91,70,255
1/19/2019 8:56:33 PM,3998,712,9933,5461,8564,9069,5450,43229,59,96,67,255
1/19/2019 8:56:34 PM,7076,1338,10960,2806,10917,12707,4950,32248,59,96,63,255
1/19/2019 8:56:35 PM,5394,5581,14818,11717,8770,11821,3032,34449,59,91,64,255
1/19/2019 8:56:36 PM,9591,9418,6486,6883,9479,5665,3206,43986,59,100,67,255
1/19/2019 8:56:37 PM,4905,7198,8412,15708,6166,5595,5462,57000,59,96,69,255
1/19/2019 8:56:38 PM,8073,10318,12040,22925,8109,23501,4743,57801,59,88,67,255
1/19/2019 8:56:39 PM,15875,8827,9046,15480,7349,13291,3118,53501,59,87,66,255
1/19/2019 8:56:40 PM,4980,11333,3320,18560,9698,5574,2953,48047,59,88,61,255
1/19/2019 8:56:41 PM,10979,644,6273,11179,8074,11787,6584,41962,59,91,51,255
1/19/2019 8:56:42 PM,10055,26376,17816,8853,8864,2164,4534,57358,59,91,66,255
1/19/2019 8:56:43 PM,1369,9370,7285,22741,7116,13684,11097,20978,59,91,66,255
1/19/2019 8:56:44 PM,4492,14431,10011,16893,7949,21905,10061,28467,59,83,66,255
1/19/2019 8:56:45 PM,4002,6158,4324,13104,9163,10444,3553,47248,59,83,70,255
1/19/2019 8:56:46 PM,24732,11229,4868,7663,12198,15866,3708,48088,59,88,57,255
1/19/2019 8:56:47 PM,4983,19130,22426,6611,7732,11620,5592,43702,59,84,69,255
1/19/2019 8:56:48 PM,3753,4002,12066,5217,6221,6038,2077,57289,59,90,75,255
1/19/2019 8:56:49 PM,3575,6049,24980,8370,8090,9379,1483,44976,59,83,87,255
1/19/2019 8:56:50 PM,6094,20369,12709,7255,5441,11950,6742,50234,59,75,96,255
1/19/2019 8:56:51 PM,6780,3651,12131,11239,13840,30717,6407,63547,59,80,81,255
