Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/19/2019 8:10:09 PM,117520,27681,9650,29481,11271,11402,3049,71596,41,67,69,255
1/19/2019 8:10:10 PM,4388,3662,4137,1427,2585,13237,2030,24257,41,57,67,255
1/19/2019 8:10:11 PM,772767,27713,11822,17877,11652,16214,9365,73425,41,56,70,255
1/19/2019 8:10:12 PM,491141,12502,32684,48960,25068,166523,13930,43382,41,54,60,255
1/19/2019 8:10:13 PM,1631,6361,4632,34228,17434,91280,10775,84862,41,53,43,255
1/19/2019 8:10:14 PM,143628,20211,23435,29747,20512,16637,14589,81376,41,60,44,255
1/19/2019 8:10:15 PM,4724,15462,36483,26463,8987,69506,8158,58861,41,51,41,255
1/19/2019 8:10:16 PM,17845,13602,26272,32661,16911,11161,6003,66558,41,60,50,255
1/19/2019 8:10:17 PM,141000,33499,61497,12612,17644,13408,4729,65545,41,60,75,255
1/19/2019 8:10:18 PM,4187,13017,17444,21930,6263,28997,5854,69831,41,50,75,255
1/19/2019 8:10:19 PM,5830,17077,20232,13894,18889,27213,12161,58353,41,61,77,255
1/19/2019 8:10:20 PM,5600,24364,14025,18578,5662,26659,3722,65192,41,50,78,255
1/19/2019 8:10:21 PM,21020,11804,62872,5197,6303,18933,10600,48779,41,43,80,255
1/19/2019 8:10:22 PM,1323,11764,27452,87242,8189,6173,7793,54454,41,48,77,255
1/19/2019 8:10:23 PM,6954,14022,6886,33167,14242,8746,7563,38639,41,51,74,255
1/19/2019 8:10:24 PM,26835,3264,23915,38303,16316,12262,4496,64969,41,63,67,255
1/19/2019 8:10:25 PM,23548,1427,4479,2964,1738,18252,1318,21299,41,63,51,255
1/19/2019 8:10:26 PM,395953,13448,5485,52229,14485,22746,3971,78052,41,67,47,255
1/19/2019 8:10:27 PM,115189,13447,8459,53480,11769,20027,4261,77204,41,64,43,255
1/19/2019 8:10:28 PM,6358,12688,16181,32047,17237,9026,5115,74948,41,64,44,255
1/19/2019 8:10:29 PM,6147,47526,24770,21942,11033,21653,5206,64865,41,67,57,255
1/19/2019 8:10:30 PM,10150,11335,13621,32377,14474,49744,3771,44514,41,63,57,255
1/19/2019 8:10:31 PM,91312,11644,11896,47460,3639,24036,10846,73039,41,53,60,255
1/19/2019 8:10:32 PM,8321,2330,3782,6866,3308,20532,1048,18124,41,41,53,255
1/19/2019 8:10:33 PM,13675,26992,8501,12312,8080,25709,4376,48266,41,43,48,255
1/19/2019 8:10:34 PM,4784,16587,23494,15391,16312,38690,4056,57255,41,43,54,255
