Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/19/2019 8:09:29 PM,606610,1667,9061,25227,38340,133100,15961,39624,87,74,56,255
1/19/2019 8:09:30 PM,17342,23627,16595,29488,52275,40956,23711,37723,87,81,53,255
1/19/2019 8:09:31 PM,353473,3189,17932,29981,40321,13077,33690,36821,87,90,41,255
1/19/2019 8:09:32 PM,712243,3732,24469,33122,19685,37635,13627,55317,87,87,35,255
1/19/2019 8:09:33 PM,563848,21142,40597,58862,54293,551246,30534,52164,87,78,40,255
1/19/2019 8:09:34 PM,1775472,17680,19893,6774,22902,32982,16416,14764,87,74,44,255
1/19/2019 8:09:35 PM,682283,83949,140517,34317,44966,99184,33864,43781,87,56,56,255
1/19/2019 8:09:36 PM,130467,3946,4848,92531,27976,26135,17851,34834,87,64,44,255
1/19/2019 8:09:37 PM,42045,6638,8255,4299,3799,26144,2888,12367,87,64,54,255
1/19/2019 8:09:38 PM,34916,9970,32677,34911,25702,44821,9956,38133,87,64,53,255
1/19/2019 8:09:39 PM,135764,12339,58502,22092,21014,41414,6937,24181,87,66,50,255
1/19/2019 8:09:40 PM,122717,3503,4120,24548,7137,14888,7950,9994,87,60,56,255
1/19/2019 8:09:41 PM,34498,679,2630,2192,3062,5663,4538,17949,87,70,54,255
1/19/2019 8:09:42 PM,765786,25242,33080,27347,8867,80337,16404,53800,87,57,56,255
1/19/2019 8:09:43 PM,14683,7979,10236,11163,8137,30065,3354,13871,87,57,50,255
1/19/2019 8:09:44 PM,11238,13751,20483,18175,27557,20182,9581,50172,87,61,57,255
1/19/2019 8:09:45 PM,20146,20821,13438,32033,11170,32515,6100,46245,87,54,61,255
1/19/2019 8:09:46 PM,20789,31411,15476,17246,15842,44282,4814,23124,87,63,61,255
1/19/2019 8:09:47 PM,16112,79421,36212,13820,10339,21863,9813,50261,87,56,77,255
1/19/2019 8:09:48 PM,10933,7602,10864,12829,8868,44819,9514,56895,87,47,70,255
1/19/2019 8:09:49 PM,6532,28309,18794,35436,8708,23197,4984,44533,87,44,75,255
1/19/2019 8:09:50 PM,129387,18838,16261,22425,12045,13183,4369,37466,87,48,77,255
1/19/2019 8:09:51 PM,428363,21818,33118,27968,12319,53731,6803,39414,87,51,64,255
1/19/2019 8:09:52 PM,16003,1798,26677,26447,11746,22948,9814,33839,87,54,69,255
1/19/2019 8:09:53 PM,11635,43424,12361,11591,11492,24140,9068,45819,87,56,74,255
1/19/2019 8:09:54 PM,5604,15820,41369,49859,12866,41943,15801,63488,87,51,70,255
