Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/19/2019 9:05:19 PM,2720,4558,5666,14023,9614,11294,2068,50756,59,64,38,255
1/19/2019 9:05:20 PM,69081,6218,7137,4132,8418,8099,2499,43114,59,77,40,255
1/19/2019 9:05:21 PM,170001,10163,7394,2268,7725,60659,17363,37747,59,90,37,255
1/19/2019 9:05:22 PM,4974,40234,27686,14787,10181,54675,3866,55182,59,75,44,255
1/19/2019 9:05:23 PM,2991,37376,36077,37206,9440,24611,7921,45518,59,60,56,255
1/19/2019 9:05:24 PM,8459,15098,10261,26954,11108,31491,4867,43853,59,51,51,255
1/19/2019 9:05:25 PM,3563,26626,57030,13669,10808,7601,2314,41515,59,53,75,255
1/19/2019 9:05:26 PM,10359,40513,66016,27393,17448,6936,2963,39130,59,60,83,255
1/19/2019 9:05:27 PM,5624,63608,68436,26623,4608,22583,2759,38445,59,48,93,255
1/19/2019 9:05:28 PM,2739,18690,124410,24787,10252,7392,3378,37336,59,37,100,255
1/19/2019 9:05:29 PM,7155,35021,32759,37430,11363,25727,11438,40594,59,38,100,255
1/19/2019 9:05:30 PM,18072,12468,10517,31676,7929,8629,3268,39595,59,41,90,255
1/19/2019 9:05:31 PM,6597,6627,83181,17875,5572,7812,5197,30603,59,48,90,255
1/19/2019 9:05:32 PM,6759,73888,83846,26186,23435,12563,1912,43346,59,54,87,255
1/19/2019 9:05:33 PM,5713,36703,24637,10346,8655,9673,3795,40976,59,54,94,255
1/19/2019 9:05:34 PM,8574,8031,21550,18028,11645,31415,5242,34216,59,53,94,255
1/19/2019 9:05:35 PM,4752,13015,40694,21226,12350,10602,4084,30181,59,64,88,255
1/19/2019 9:05:36 PM,6779,52386,27671,7867,8371,41971,3591,43649,59,57,81,255
1/19/2019 9:05:37 PM,10504,35080,93753,29287,10217,32515,6995,49623,59,51,80,255
1/19/2019 9:05:38 PM,8187,61272,7144,15726,15911,24412,2312,34024,59,51,90,255
1/19/2019 9:05:39 PM,13675,28779,10419,28322,9664,12353,3800,34735,59,51,84,255
1/19/2019 9:05:40 PM,7489,26733,74559,37228,4144,16549,3551,31424,59,44,88,255
1/19/2019 9:05:41 PM,6188,148291,32927,13880,16122,12499,979,37505,59,48,94,255
1/19/2019 9:05:42 PM,4542,30709,13199,26961,12231,13222,3644,34610,59,50,91,255
1/19/2019 9:05:43 PM,307711,176536,25075,29018,10487,11491,2608,38147,59,35,100,255
1/19/2019 9:05:44 PM,21006,105902,14258,11976,18256,114022,5827,36067,59,41,100,255
