Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/19/2019 9:04:38 PM,345980,46290,52365,85600,16300,10213,11250,41867,85,61,83,255
1/19/2019 9:04:39 PM,14151,134350,38813,16475,18060,46103,12494,35644,85,53,94,255
1/19/2019 9:04:40 PM,459003,4993,59682,51890,30072,10671,14652,28026,85,56,96,255
1/19/2019 9:04:41 PM,15514,96845,31378,22587,10806,44744,9324,56257,85,56,88,255
1/19/2019 9:04:42 PM,19300,13996,33000,32929,5282,17706,5093,28169,85,51,87,255
1/19/2019 9:04:43 PM,17063,16760,25641,25764,17828,15456,4223,51565,85,64,77,255
1/19/2019 9:04:44 PM,4104,36706,22600,10800,15160,9405,5433,34771,85,57,84,255
1/19/2019 9:04:45 PM,382900,101115,33055,24787,25703,28190,8435,63167,85,67,84,255
1/19/2019 9:04:46 PM,6668,22827,6281,6836,1220,18679,1628,6158,85,56,88,255
1/19/2019 9:04:47 PM,262858,68626,8990,39501,15392,26675,6157,35452,85,50,91,255
1/19/2019 9:04:48 PM,10399,23201,14829,4227,2222,48401,1724,6894,85,29,83,255
1/19/2019 9:04:49 PM,4929,261564,9187,36984,16613,25833,4186,39656,85,17,90,255
1/19/2019 9:04:50 PM,8613,29218,23279,23992,15058,25083,5286,42413,85,38,87,255
1/19/2019 9:04:51 PM,4514,59847,9628,54946,13384,30420,1635,37981,85,37,83,255
1/19/2019 9:04:52 PM,10982,47763,29345,27729,9404,33837,5188,33054,85,50,87,255
1/19/2019 9:04:53 PM,5934,42520,26168,25904,9428,11856,3409,44334,85,56,78,255
1/19/2019 9:04:54 PM,22796,28967,30325,52981,3145,25320,3252,46893,85,41,78,255
1/19/2019 9:04:55 PM,3770,32616,19127,72742,6264,7809,3082,21954,85,38,77,255
1/19/2019 9:04:56 PM,4151,68913,20254,14765,12632,55444,4866,29211,85,38,77,255
1/19/2019 9:04:57 PM,4232,18195,36691,8325,14926,10762,4287,40567,85,43,77,255
1/19/2019 9:04:58 PM,2855,42203,12089,24752,4880,21950,5942,38657,85,48,80,255
1/19/2019 9:04:59 PM,5258,32085,41342,36085,10022,18907,3057,33071,85,48,84,255
1/19/2019 9:05:00 PM,5997,7531,23430,20089,8873,12126,4314,33113,85,56,81,255
1/19/2019 9:05:01 PM,4146,9684,20098,30616,7606,27265,5300,44167,85,53,69,255
1/19/2019 9:05:02 PM,11861,45307,44898,21386,13619,9863,1645,58047,85,61,75,255
1/19/2019 9:05:03 PM,6944,6459,25386,29577,10793,15571,3478,41614,85,67,67,255
