Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/19/2019 9:02:21 PM,2801,32600,13119,4554,8147,4635,3547,51323,65,66,75,255
1/19/2019 9:02:22 PM,2486,13617,4636,5748,6004,6705,1944,41717,65,74,88,255
1/19/2019 9:02:23 PM,2163,26193,7857,8545,7547,18342,3873,43515,65,74,87,255
1/19/2019 9:02:24 PM,2888,3921,7227,6914,12623,19262,2995,59837,65,81,78,255
1/19/2019 9:02:25 PM,27752,7492,4324,7255,7818,26881,2348,49416,65,83,56,255
1/19/2019 9:02:26 PM,6906,7023,6216,10226,5171,8265,7605,56875,65,84,51,255
1/19/2019 9:02:27 PM,2523,14199,4082,8701,4776,5253,5429,52180,65,88,51,255
1/19/2019 9:02:28 PM,2371,9026,10072,4172,10867,13726,4687,41472,65,84,60,255
1/19/2019 9:02:29 PM,17543,27684,22275,7262,8625,15429,4810,57233,65,80,77,255
1/19/2019 9:02:30 PM,3105,19802,26578,7081,12732,17480,2442,52016,65,78,83,255
1/19/2019 9:02:31 PM,940,1547,5290,9008,7486,7698,2612,48850,65,87,74,255
1/19/2019 9:02:32 PM,15687,14617,12005,11193,9267,25339,3386,53726,65,81,70,255
1/19/2019 9:02:33 PM,1633,11340,6607,20061,9300,15757,3383,30951,65,90,57,255
1/19/2019 9:02:34 PM,1231,9566,14504,6986,15173,11293,4052,27698,65,96,51,255
1/19/2019 9:02:35 PM,4856,18188,8583,15864,13387,13292,3307,50374,65,93,60,255
1/19/2019 9:02:36 PM,2589,13439,6420,5833,9057,11004,2158,28199,65,97,63,255
1/19/2019 9:02:37 PM,12025,8450,3758,12371,7808,9693,2400,54205,65,100,63,255
1/19/2019 9:02:38 PM,2111,1734,13126,13020,16819,9328,2521,42108,65,100,57,255
1/19/2019 9:02:39 PM,3096,28637,1762,10435,4576,15052,3168,38275,65,94,61,255
1/19/2019 9:02:40 PM,6640,11605,11120,11899,8420,10471,4784,38662,65,93,61,255
1/19/2019 9:02:41 PM,12930,11228,18861,25163,7619,34573,6093,26543,65,81,61,255
1/19/2019 9:02:42 PM,10482,1535,26667,13155,6064,5119,1625,38805,65,64,74,255
1/19/2019 9:02:43 PM,1617,5684,1531,10832,6655,4595,3695,56966,65,81,63,255
1/19/2019 9:02:44 PM,14256,22957,16376,11043,6017,11078,1684,53846,65,75,67,255
1/19/2019 9:02:45 PM,1001,1793,4563,13680,4698,6378,7029,48457,65,87,63,255
1/19/2019 9:02:46 PM,5802,21411,11881,5155,5336,5844,2993,42305,65,84,67,255
