Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/19/2019 9:03:42 PM,12565,6963,12257,17390,7006,22872,1597,33201,66,63,67,255
1/19/2019 9:03:43 PM,6817,16434,7093,15977,15475,15053,5190,51090,66,84,57,255
1/19/2019 9:03:44 PM,6904,13208,5947,10249,4268,4912,4713,47648,66,90,56,255
1/19/2019 9:03:45 PM,4645,7190,4370,9222,5458,4678,3516,33750,66,88,60,255
1/19/2019 9:03:46 PM,2097,8468,7783,6370,6297,10266,4252,37961,66,91,64,255
1/19/2019 9:03:47 PM,6261,16897,5114,11035,7745,6469,7219,39887,66,88,69,255
1/19/2019 9:03:48 PM,8864,19600,11709,7345,7878,26345,4318,43402,66,84,66,255
1/19/2019 9:03:49 PM,3636,1386,11430,10687,7229,24737,2393,29359,66,80,60,255
1/19/2019 9:03:50 PM,5794,8024,1632,17683,5154,8938,5469,40213,66,81,51,255
1/19/2019 9:03:51 PM,10983,6640,6440,14995,7187,21103,1613,34207,66,77,41,255
1/19/2019 9:03:52 PM,15205,14449,8246,8394,9526,7365,7187,29038,66,87,43,255
1/19/2019 9:03:53 PM,4155,9939,8426,8556,8738,9319,7622,55768,66,91,51,255
1/19/2019 9:03:54 PM,7212,36973,14822,5682,8081,11711,4691,25773,66,83,69,255
1/19/2019 9:03:55 PM,12469,6006,8423,13592,6053,17309,4213,63377,66,81,74,255
1/19/2019 9:03:56 PM,10394,2129,7498,4692,5463,7340,3836,43415,66,81,67,255
1/19/2019 9:03:57 PM,2818,11666,4751,4193,7239,39984,1733,56157,66,70,61,255
1/19/2019 9:03:58 PM,9355,5718,6302,7362,10928,7487,2226,49123,66,87,47,255
1/19/2019 9:03:59 PM,2159,5074,7660,8382,8639,23497,4012,28629,66,90,44,255
1/19/2019 9:04:00 PM,6103,6830,6252,3977,4443,8578,4401,36656,66,87,48,255
1/19/2019 9:04:01 PM,8669,17719,6170,28026,10064,11837,2702,53221,66,93,50,255
1/19/2019 9:04:02 PM,3224,3180,10234,8915,11450,14759,4244,44170,66,91,48,255
1/19/2019 9:04:03 PM,9487,19935,5529,12201,8845,12131,2909,53657,66,90,56,255
1/19/2019 9:04:04 PM,6239,11099,6818,14172,14460,17947,7675,52047,66,96,50,255
1/19/2019 9:04:05 PM,3177,36123,42559,9931,14895,18981,4315,38890,66,91,63,255
1/19/2019 9:04:06 PM,5805,16072,23575,13023,9783,20972,4787,38300,66,81,70,255
1/19/2019 9:04:07 PM,3610,1344,6495,11096,5075,12767,4215,30725,66,81,63,255
