Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
12/31/2018 9:55:38 PM,5860,903,1005,6167,7499,29199,5618,362940,50,74,40,255
12/31/2018 9:55:39 PM,40424,7653,7912,4173,7705,43642,4291,387106,50,75,34,255
12/31/2018 9:55:40 PM,7277,6983,1875,4489,6174,19390,7720,379633,50,81,20,255
12/31/2018 9:55:41 PM,54834,11191,2748,5470,5004,13456,4555,424874,50,74,26,255
12/31/2018 9:55:42 PM,2151,2275,1690,1320,1833,9823,984,96549,50,67,43,255
12/31/2018 9:55:43 PM,4390,5490,4817,4949,7577,10852,5769,327136,50,77,47,255
12/31/2018 9:55:44 PM,5422,15948,8351,3430,5497,3280,7095,402537,50,75,63,255
12/31/2018 9:55:45 PM,3248,1037,11430,3204,5275,12975,2063,441389,50,77,63,255
12/31/2018 9:55:46 PM,18059,3982,13596,4300,3847,9666,4469,376126,50,78,74,255
12/31/2018 9:55:47 PM,835,1796,2110,5803,6820,3266,2377,398009,50,87,67,255
12/31/2018 9:55:48 PM,32979,9820,4082,3107,5463,3205,7653,364735,50,90,63,255
12/31/2018 9:55:49 PM,58405,7424,10988,5068,7168,27248,7057,396058,50,88,61,255
12/31/2018 9:55:50 PM,172434,9168,7085,2898,2014,8592,1267,99875,50,83,63,255
12/31/2018 9:55:51 PM,430629,16209,9848,18864,7524,89866,8822,429640,50,60,61,255
12/31/2018 9:55:52 PM,6885,77524,10893,4565,9275,99595,6942,390491,50,47,56,255
12/31/2018 9:55:53 PM,74295,12745,17539,4243,6500,10383,5715,382263,50,47,66,255
12/31/2018 9:55:54 PM,54589,10223,2892,1803,1609,24163,1555,99498,50,40,57,255
12/31/2018 9:55:55 PM,43127,10082,5805,4159,3243,11055,702,87663,50,44,70,255
12/31/2018 9:55:56 PM,83922,43240,12862,6224,3701,17918,4667,324029,50,44,80,255
12/31/2018 9:55:57 PM,2993,72784,25263,2922,9193,33297,7390,376307,50,37,81,255
12/31/2018 9:55:58 PM,2466,84540,7434,4992,6191,13571,10848,357026,50,40,100,255
12/31/2018 9:55:59 PM,388225,95245,10729,9185,4965,16119,14270,363548,50,30,100,255
12/31/2018 9:56:00 PM,18688,73330,9640,5840,7026,35098,11206,404192,50,34,100,255
12/31/2018 9:56:01 PM,12644,23280,6892,15405,5721,29800,4060,352596,50,37,100,255
12/31/2018 9:56:02 PM,25339,48283,8119,12750,8307,15291,2450,372748,50,41,93,255
12/31/2018 9:56:03 PM,4027,31336,17919,4996,7338,9247,12537,368684,50,51,90,255
