Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
12/31/2018 9:54:06 PM,181253,60522,24879,9584,3242,74353,11966,367055,64,61,48,255
12/31/2018 9:54:07 PM,261518,81662,12720,6642,8520,37320,5553,408596,64,53,61,255
12/31/2018 9:54:08 PM,75417,15062,8898,3572,7445,78290,5381,360715,64,41,60,255
12/31/2018 9:54:09 PM,48964,23038,40708,10790,7038,41842,4651,318313,64,29,74,255
12/31/2018 9:54:10 PM,59468,1301,4976,3494,3769,10958,1086,37093,64,50,64,255
12/31/2018 9:54:11 PM,28781,19588,55105,5222,6459,16119,5398,132717,64,50,67,255
12/31/2018 9:54:12 PM,17720,2167,3693,5939,14909,7315,4940,213597,64,70,64,255
12/31/2018 9:54:13 PM,36071,65588,9642,13524,7706,16457,13099,187358,64,75,70,255
12/31/2018 9:54:14 PM,16770,43757,17286,8916,11904,11219,5367,205689,64,74,84,255
12/31/2018 9:54:15 PM,6665,46773,23484,10181,11335,23702,7462,166823,64,78,80,255
12/31/2018 9:54:16 PM,504051,2451,3877,7360,9206,6060,17484,137103,64,74,81,255
12/31/2018 9:54:17 PM,19757,16521,4136,13861,6068,22284,8326,179929,64,77,69,255
12/31/2018 9:54:18 PM,12020,12153,4006,2935,21611,3573,2410,172258,64,93,60,255
12/31/2018 9:54:19 PM,20338,35221,4809,6431,8768,6569,6953,159219,64,96,61,255
12/31/2018 9:54:20 PM,5331,15857,12850,8124,14063,13978,13246,136324,64,90,70,255
12/31/2018 9:54:21 PM,13340,3475,22631,12203,4929,16856,11376,181138,64,88,75,255
12/31/2018 9:54:22 PM,22182,123127,10516,15075,10692,23587,8481,190575,64,64,88,255
12/31/2018 9:54:23 PM,13085,40630,1790,4878,12633,14533,7316,171026,64,66,84,255
12/31/2018 9:54:24 PM,8796,71450,2651,9318,5398,17343,7054,147738,64,53,93,255
12/31/2018 9:54:25 PM,9712,76309,6728,6149,7733,11899,8869,177491,64,50,100,255
12/31/2018 9:54:26 PM,10397,80153,8568,2844,8262,12357,14617,151638,64,53,100,255
12/31/2018 9:54:27 PM,14759,48103,5438,15718,11642,14505,7427,185081,64,50,100,255
12/31/2018 9:54:28 PM,29654,74517,12033,17991,20046,25003,6233,156467,64,60,100,255
12/31/2018 9:54:29 PM,2937,30587,8912,9359,13119,5363,9059,165388,64,69,96,255
12/31/2018 9:54:30 PM,206981,25900,5841,8294,6734,7960,8211,153676,64,75,90,255
12/31/2018 9:54:31 PM,339321,5980,10800,8840,9664,65549,10931,149438,64,70,74,255
