Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
12/31/2018 11:16:24 PM,28540,2799,8493,10721,10495,50784,4539,142266,56,53,26,255
12/31/2018 11:16:25 PM,215197,5868,3526,6944,4288,7644,813,28962,56,63,21,255
12/31/2018 11:16:26 PM,50936,31509,5166,19269,11100,36209,5587,126898,56,69,30,255
12/31/2018 11:16:27 PM,70361,16213,7671,10650,6323,46196,5630,64620,56,54,37,255
12/31/2018 11:16:28 PM,8269,24347,10716,5589,7610,26358,5842,71957,56,53,51,255
12/31/2018 11:16:29 PM,25216,17439,6164,5596,7110,29825,17608,67797,56,48,51,255
12/31/2018 11:16:30 PM,28190,14154,10280,9393,14757,15396,5458,44909,56,54,53,255
12/31/2018 11:16:31 PM,15464,10423,7582,6949,5872,15992,6075,84944,56,60,56,255
12/31/2018 11:16:32 PM,55447,2067,11988,3812,11037,61200,3781,91282,56,61,43,255
12/31/2018 11:16:33 PM,5803,20596,11641,4952,10072,63227,4571,102176,56,60,41,255
12/31/2018 11:16:34 PM,2949,7633,22254,8201,12919,27245,6660,76832,56,54,41,255
12/31/2018 11:16:35 PM,7423,3200,3496,2946,9472,8196,8485,52874,56,66,37,255
12/31/2018 11:16:36 PM,32327,14964,7110,3063,12120,10979,7537,70378,56,74,50,255
12/31/2018 11:16:37 PM,12889,9497,9220,2527,12566,47837,6650,57561,56,78,47,255
12/31/2018 11:16:38 PM,61583,21987,8895,13371,12571,24298,4852,78256,56,78,47,255
12/31/2018 11:16:39 PM,16021,2707,5933,10414,7790,11290,9693,76578,56,75,47,255
12/31/2018 11:16:40 PM,13990,18775,4093,7304,11097,9478,14279,76665,56,75,47,255
12/31/2018 11:16:41 PM,3854,15974,7904,6425,8136,27502,6922,84892,56,74,51,255
12/31/2018 11:16:42 PM,6774,13540,3473,7690,11251,4935,7269,76749,56,80,53,255
12/31/2018 11:16:43 PM,10336,3450,9669,5411,5401,13593,3502,57639,56,74,57,255
12/31/2018 11:16:44 PM,3997,66695,1838,5587,9233,20750,5210,85944,56,64,64,255
12/31/2018 11:16:45 PM,3207,44751,20686,7069,14776,10179,5345,43219,56,66,75,255
12/31/2018 11:16:46 PM,10232,98247,8631,7903,4695,6185,4425,83097,56,47,91,255
12/31/2018 11:16:47 PM,5606,76712,4980,7167,7125,12855,13525,73861,56,38,100,255
12/31/2018 11:16:48 PM,5344,51891,6009,9918,3736,17455,12253,54207,56,30,100,255
12/31/2018 11:16:49 PM,7990,30312,18062,4949,14777,12634,10150,62636,56,34,100,255
