Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
12/31/2018 9:49:02 PM,121834,5327,3197,3057,7480,7764,2969,568967,41,87,57,255
12/31/2018 9:49:03 PM,10699,5918,3620,5212,8253,12908,4318,448822,41,90,54,255
12/31/2018 9:49:04 PM,8688,8877,2547,5761,4874,6595,4137,169228,41,93,56,255
12/31/2018 9:49:05 PM,6648,6716,7777,1342,2788,11271,3291,194286,41,80,78,255
12/31/2018 9:49:06 PM,1324,3320,2594,4215,6990,5890,6636,157357,41,81,75,255
12/31/2018 9:49:07 PM,8992,1166,8748,5163,5573,11265,2304,180508,41,77,77,255
12/31/2018 9:49:08 PM,7219,6119,3201,6832,4584,7049,3656,136611,41,77,74,255
12/31/2018 9:49:09 PM,15170,5416,7965,5554,5532,7961,3780,165531,41,83,70,255
12/31/2018 9:49:10 PM,16936,9260,3469,5838,3595,10165,3158,177349,41,74,78,255
12/31/2018 9:49:11 PM,5599,1714,4653,3631,7219,7215,3190,180941,41,80,75,255
12/31/2018 9:49:12 PM,6833,1930,1187,8082,12647,12114,2605,174543,41,88,57,255
12/31/2018 9:49:13 PM,4796,3630,1697,5478,3832,11911,4365,174698,41,88,47,255
12/31/2018 9:49:14 PM,11020,2624,5178,8481,5061,10828,5854,192215,41,91,41,255
12/31/2018 9:49:15 PM,34787,5197,4104,5142,8850,7234,2518,174476,41,90,43,255
12/31/2018 9:49:16 PM,2522,7010,14903,3933,12822,8219,4158,161196,41,84,66,255
12/31/2018 9:49:17 PM,4996,6680,4034,13110,4704,8756,4180,169317,41,87,70,255
12/31/2018 9:49:18 PM,968,2752,6036,2460,4804,4553,7662,164638,41,88,80,255
12/31/2018 9:49:19 PM,6107,1126,10401,4845,11208,2349,2199,182657,41,91,83,255
12/31/2018 9:49:20 PM,8241,7907,1312,3074,14325,13659,2358,175952,41,94,74,255
12/31/2018 9:49:21 PM,6621,1964,3583,5645,8051,7613,2712,197969,41,100,67,255
12/31/2018 9:49:22 PM,9549,5602,557,2840,8636,8512,5412,165119,41,100,57,255
12/31/2018 9:49:23 PM,30506,3695,10735,10998,7791,14863,2586,183763,41,97,54,255
12/31/2018 9:49:24 PM,4107,6848,4778,6147,5626,10019,4429,158564,41,91,60,255
12/31/2018 9:49:25 PM,13635,2683,1622,6307,5222,12636,3620,158447,41,84,57,255
12/31/2018 9:49:26 PM,7389,4298,2840,3502,9079,15020,6587,165889,41,83,54,255
12/31/2018 9:49:27 PM,303542,12321,13601,3252,6513,9256,2727,160952,41,78,66,255
