Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
12/31/2018 11:12:08 PM,267104,6375,2887,7609,7709,7468,4607,269031,60,70,53,255
12/31/2018 11:12:09 PM,18872,103492,41732,53081,9386,231891,5348,210265,60,53,47,255
12/31/2018 11:12:10 PM,2343,11533,8087,5206,12292,7955,6245,248456,60,75,51,255
12/31/2018 11:12:11 PM,3700,6639,6669,3491,11450,9516,6183,134535,60,78,51,255
12/31/2018 11:12:12 PM,9730,4823,10752,9953,7154,8721,3578,91297,60,75,54,255
12/31/2018 11:12:13 PM,2076,1421,2653,3074,14301,10762,7471,98683,60,100,44,255
12/31/2018 11:12:14 PM,11958,2864,2318,6121,6108,16963,3805,99121,60,100,30,255
12/31/2018 11:12:15 PM,8858,4783,4279,3319,7706,11327,13519,73517,60,100,29,255
12/31/2018 11:12:16 PM,10853,5083,1501,2413,5370,12495,3476,81340,60,97,23,255
12/31/2018 11:12:17 PM,2494,2119,3503,3444,11888,5762,5714,104709,60,100,27,255
12/31/2018 11:12:18 PM,5813,1377,2883,7913,9455,14585,4291,96469,60,100,24,255
12/31/2018 11:12:19 PM,12148,5308,4510,6227,5433,7394,3172,136024,60,100,26,255
12/31/2018 11:12:20 PM,6653,20646,3164,7232,11278,20960,3294,78414,60,100,34,255
12/31/2018 11:12:21 PM,44024,3726,423,9036,7791,9796,5965,104913,60,96,29,255
12/31/2018 11:12:22 PM,2761,3887,8918,3484,16122,21551,2259,69456,60,96,37,255
12/31/2018 11:12:23 PM,4424,2157,2570,4610,6783,8255,3045,109794,60,100,29,255
12/31/2018 11:12:24 PM,1409,814,7235,6441,9261,9290,2833,76379,60,100,24,255
12/31/2018 11:12:25 PM,11849,1287,3415,14837,6941,15400,4476,113809,60,100,21,255
12/31/2018 11:12:26 PM,9324,3555,5671,8349,10789,11767,8256,79450,60,100,21,255
12/31/2018 11:12:27 PM,5911,8862,10953,2844,11504,5558,3111,84989,60,100,34,255
12/31/2018 11:12:28 PM,1942,10842,2853,4443,7051,11328,5949,97826,60,96,38,255
12/31/2018 11:12:29 PM,980,7770,7759,7394,4059,4103,6756,117036,60,91,56,255
12/31/2018 11:12:30 PM,120800,4146,8245,2189,9395,9874,8056,105795,60,91,63,255
12/31/2018 11:12:31 PM,12397,12654,6286,9798,6103,7803,5453,96645,60,84,61,255
12/31/2018 11:12:32 PM,7289,10278,6319,8833,6687,1732,5476,99624,60,88,66,255
12/31/2018 11:12:33 PM,1140,5019,5842,3391,11750,7075,3521,93796,60,96,61,255
