Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
12/31/2018 11:14:08 PM,14152,10010,17552,4834,10929,6260,1774,217455,78,51,57,255
12/31/2018 11:14:09 PM,5563,20328,3582,10161,9718,7044,8281,156550,78,51,61,255
12/31/2018 11:14:10 PM,13157,5931,4742,11916,4610,16162,2205,75255,78,50,60,255
12/31/2018 11:14:11 PM,15402,1462,8439,8091,12654,8471,6583,91016,78,80,57,255
12/31/2018 11:14:12 PM,13387,5214,11681,4860,6063,27938,1842,82131,78,74,48,255
12/31/2018 11:14:13 PM,6335,3293,5073,2251,10013,10105,5230,100398,78,78,41,255
12/31/2018 11:14:14 PM,8471,15458,2442,7408,6781,7771,3835,115363,78,81,50,255
12/31/2018 11:14:15 PM,8847,9554,1891,1856,8495,10729,1634,87979,78,77,54,255
12/31/2018 11:14:16 PM,21821,8593,7252,2630,8786,5791,3901,86634,78,87,61,255
12/31/2018 11:14:17 PM,55594,2131,4978,6069,11409,14554,6145,72882,78,88,54,255
12/31/2018 11:14:18 PM,15450,6567,2076,2004,2692,14827,952,20796,78,80,50,255
12/31/2018 11:14:19 PM,4557,593,1198,8423,3721,7678,8681,80912,78,80,34,255
12/31/2018 11:14:20 PM,2512,1912,1559,5582,8783,13082,4586,65546,78,81,14,255
12/31/2018 11:14:21 PM,1735,2226,4857,3751,5964,7949,6528,102243,78,78,20,255
12/31/2018 11:14:22 PM,10173,27893,4318,3521,18207,13047,1745,115852,78,88,26,255
12/31/2018 11:14:23 PM,5018,2284,1765,7745,21441,21545,3535,79327,78,94,24,255
12/31/2018 11:14:24 PM,780,8064,6116,2636,4556,9255,4970,83366,78,87,41,255
12/31/2018 11:14:25 PM,22738,2215,6789,3678,4752,6429,5389,73493,78,84,47,255
12/31/2018 11:14:26 PM,5165,27481,9815,2392,5520,3105,4008,66785,78,75,57,255
12/31/2018 11:14:27 PM,3656,1240,16498,13485,12796,2857,4933,115368,78,74,77,255
12/31/2018 11:14:28 PM,91001,5392,3729,6309,6311,5560,3148,101359,49,80,74,255
12/31/2018 11:14:29 PM,13584,7329,4101,2396,720,21488,807,25812,49,56,70,255
12/31/2018 11:14:30 PM,16762,2322,7683,3743,4605,7143,3099,107369,49,61,53,255
12/31/2018 11:14:31 PM,3068,978,8722,6417,5192,6608,10222,74452,49,56,53,255
12/31/2018 11:14:32 PM,715,18207,2736,9998,5663,10529,6639,77408,49,50,57,255
12/31/2018 11:14:33 PM,12091,3866,13396,10788,7073,3699,5000,84989,49,70,63,255
