Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
12/31/2018 10:05:41 PM,1493850,141038,49552,37921,75278,112223,8947,572201,38,67,43,255
12/31/2018 10:05:42 PM,751580,95026,5447,5839,36645,52225,1392,224826,33,64,44,255
12/31/2018 10:05:43 PM,1134055,258487,50920,12849,246428,252762,2395,994779,31,77,43,255
12/31/2018 10:05:44 PM,492309,152244,13267,5848,183476,278264,3374,938011,35,81,57,255
12/31/2018 10:05:45 PM,442684,73323,6672,5758,37157,115575,1624,268815,32,80,53,255
12/31/2018 10:05:46 PM,258269,428096,21504,10309,220958,591947,6038,1177660,38,80,48,255
12/31/2018 10:05:47 PM,117816,66706,21448,3717,44755,301131,2547,309258,37,67,40,255
12/31/2018 10:05:48 PM,494095,43536,8923,7805,42148,164672,981,301801,32,61,37,255
12/31/2018 10:05:49 PM,606495,502102,15626,6073,182894,404770,9245,1129927,34,60,40,255
12/31/2018 10:05:50 PM,799183,325683,19230,12493,157972,560214,4706,1081139,35,57,40,255
12/31/2018 10:05:51 PM,72506,114920,32484,13779,129366,429496,7544,917310,36,64,40,255
12/31/2018 10:05:52 PM,382898,26299,13614,2491,37596,120411,1904,208303,31,66,40,255
12/31/2018 10:05:53 PM,99860,290118,15267,6667,217773,272965,3467,936631,32,74,37,255
12/31/2018 10:05:54 PM,187804,29228,16510,6563,31211,138794,1437,243079,38,74,34,255
12/31/2018 10:05:55 PM,290964,34098,4791,1591,42209,255605,602,223527,34,69,26,255
12/31/2018 10:05:56 PM,446216,46666,10434,10658,36830,198574,1045,204650,31,63,24,255
12/31/2018 10:05:57 PM,168814,148507,36755,4674,173903,535237,6978,850631,33,60,17,255
12/31/2018 10:05:58 PM,2096370,8303,4927,3724,37955,144332,1314,188153,35,63,7,255
12/31/2018 10:05:59 PM,932490,118827,10594,10879,144766,140188,7302,786060,32,74,16,255
12/31/2018 10:06:00 PM,339045,96182,29886,11448,87361,269717,3411,763003,35,78,21,255
12/31/2018 10:06:01 PM,485017,224101,11129,3864,61190,147768,2692,802208,35,74,34,255
12/31/2018 10:06:02 PM,734875,102118,6324,13767,197100,233268,3986,727419,34,81,44,255
12/31/2018 10:06:03 PM,41599,205927,15883,23465,72065,222603,2948,733146,35,70,50,255
12/31/2018 10:06:04 PM,155081,16777,14656,5587,33671,113973,1562,174682,35,74,44,255
12/31/2018 10:06:05 PM,611631,55048,9593,3305,181024,667371,7927,684430,33,78,23,255
12/31/2018 10:06:06 PM,400629,162205,13000,5137,141686,341389,3833,695016,33,70,24,255
