Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
12/31/2018 10:02:53 PM,6326,5247,6384,6700,9668,13140,1791,279900,39,88,51,255
12/31/2018 10:02:54 PM,3675,31878,4004,4834,4025,12227,4433,190554,39,83,57,255
12/31/2018 10:02:55 PM,41374,2957,3502,5584,7536,20022,3802,110902,39,77,50,255
12/31/2018 10:02:56 PM,15239,4194,3077,4574,7528,8034,1847,154613,39,80,50,255
12/31/2018 10:02:57 PM,6064,1262,2384,13438,4868,12452,2905,136790,39,78,38,255
12/31/2018 10:02:58 PM,8116,5772,7472,4785,10819,7103,4065,125762,39,94,26,255
12/31/2018 10:02:59 PM,15407,21103,5390,4813,5584,14349,5294,133609,39,87,43,255
12/31/2018 10:03:00 PM,1719,2753,9542,5974,6262,13355,4790,136739,39,80,47,255
12/31/2018 10:03:01 PM,5756,10612,2384,4553,6549,16315,4266,147856,39,77,60,255
12/31/2018 10:03:02 PM,3776,16578,3715,10520,8664,31543,4651,111142,39,66,56,255
12/31/2018 10:03:03 PM,17099,3861,6438,3019,5657,8120,8165,122559,39,75,51,255
12/31/2018 10:03:04 PM,8769,9969,4380,789,14364,4979,8201,133328,39,84,54,255
12/31/2018 10:03:05 PM,960,6625,3807,3577,14633,7122,3731,139572,39,97,54,255
12/31/2018 10:03:06 PM,13653,5150,3449,3624,4204,11271,7930,161195,39,100,56,255
12/31/2018 10:03:07 PM,7632,6211,5655,5374,11525,8927,4830,131391,39,100,53,255
12/31/2018 10:03:08 PM,1527,17225,2623,5516,8052,12349,5586,128171,39,94,53,255
12/31/2018 10:03:09 PM,5679,2326,4694,4553,3914,9870,5233,120528,39,83,53,255
12/31/2018 10:03:10 PM,3671,5127,18219,3752,11020,3053,4631,132956,39,88,63,255
12/31/2018 10:03:11 PM,1290,1792,979,3445,8865,8416,4425,112416,39,93,50,255
12/31/2018 10:03:12 PM,10638,9530,18117,3804,11295,9347,4680,123298,39,94,54,255
12/31/2018 10:03:13 PM,11200,16760,9380,6170,10581,5376,2526,119401,39,97,64,255
12/31/2018 10:03:14 PM,6031,4179,10398,7550,9166,7947,2766,135229,39,97,57,255
12/31/2018 10:03:15 PM,9729,3465,6855,6645,9653,6678,3788,126843,39,93,69,255
12/31/2018 10:03:16 PM,7465,4420,1343,2051,18794,9804,5692,99799,39,100,53,255
12/31/2018 10:03:17 PM,2374,11607,5411,8774,7566,30024,6984,134129,39,97,41,255
12/31/2018 10:03:18 PM,3517,1265,8741,2536,10193,3879,3601,160820,39,100,41,255
