Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
12/31/2018 11:21:39 PM,2846,7648,5189,7372,13825,11385,4314,85823,41,91,40,255
12/31/2018 11:21:40 PM,4177,13381,1687,1484,5840,13509,3731,124871,41,83,41,255
12/31/2018 11:21:41 PM,7959,7875,7382,6247,4110,11375,9952,100576,41,80,47,255
12/31/2018 11:21:42 PM,2505,2959,5070,2266,5972,12571,4610,53175,41,83,48,255
12/31/2018 11:21:43 PM,12745,11833,15325,2137,5668,11651,4793,41836,41,70,57,255
12/31/2018 11:21:44 PM,11303,421,3834,6041,8539,10041,2157,51428,41,80,47,255
12/31/2018 11:21:45 PM,8137,5686,3810,14800,8013,22170,4474,55492,41,83,38,255
12/31/2018 11:21:46 PM,7393,434,10697,5350,8394,12995,6868,39838,41,84,38,255
12/31/2018 11:21:47 PM,2353,1401,2156,3025,6482,2484,5455,47956,41,100,24,255
12/31/2018 11:21:48 PM,6057,10042,4561,8503,8488,30293,3004,40878,41,91,29,255
12/31/2018 11:21:49 PM,4405,2806,1914,1201,6233,10881,4186,39553,41,94,30,255
12/31/2018 11:21:50 PM,6499,5478,1421,4469,2949,9210,2809,27229,41,88,30,255
12/31/2018 11:21:51 PM,3268,17451,7296,6016,4112,8688,2691,37157,41,69,43,255
12/31/2018 11:21:52 PM,3152,628,2143,5412,4970,2522,5429,37690,41,81,40,255
12/31/2018 11:21:53 PM,5791,6749,9635,5507,8300,9168,3423,47847,41,81,48,255
12/31/2018 11:21:54 PM,8278,9628,3575,9002,6217,4998,2981,41455,41,88,51,255
12/31/2018 11:21:55 PM,4510,4257,2781,5111,10449,11446,4706,39517,41,100,38,255
12/31/2018 11:21:56 PM,4122,7228,6255,6944,14492,2244,2887,56278,41,100,47,255
12/31/2018 11:21:57 PM,7741,26284,3984,8832,17105,10557,3744,38706,41,100,48,255
12/31/2018 11:21:58 PM,7024,5202,10005,8715,5046,10808,3765,38563,41,97,48,255
12/31/2018 11:21:59 PM,10165,3810,12944,11889,8494,14435,4807,40499,41,91,53,255
12/31/2018 11:22:00 PM,9155,3937,5527,3718,4497,17528,3719,51651,41,77,50,255
12/31/2018 11:22:01 PM,6652,4714,5690,7265,2490,3435,3245,41950,41,67,50,255
12/31/2018 11:22:02 PM,2352,4522,1611,9810,6356,7057,3552,50116,41,75,43,255
12/31/2018 11:22:03 PM,989,507,3092,3394,13278,8914,2132,38940,41,84,34,255
12/31/2018 11:22:04 PM,13332,10439,6600,3583,11175,4592,3552,43595,41,94,40,255
