Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
12/31/2018 11:09:48 PM,43785,19030,644,3798,12373,5931,8143,233168,45,100,77,255
12/31/2018 11:09:49 PM,6204,15286,9095,4010,11728,128786,9464,283865,45,87,87,255
12/31/2018 11:09:50 PM,28233,556,4749,8398,16504,9305,11119,301122,45,87,66,255
12/31/2018 11:09:51 PM,29116,9046,1888,2962,10365,11118,10458,336188,45,100,53,255
12/31/2018 11:09:52 PM,7935,1711,4028,6281,16028,19530,10039,258698,45,100,21,255
12/31/2018 11:09:53 PM,376639,6088,6569,5593,15314,24849,13271,232450,45,100,35,255
12/31/2018 11:09:54 PM,14644,4707,10379,10141,8545,15155,12078,243056,45,100,50,255
12/31/2018 11:09:55 PM,5562,46985,12558,5328,13424,7962,6544,291951,45,93,63,255
12/31/2018 11:09:56 PM,19452,59127,17761,8923,10097,31406,6223,226976,45,77,94,255
12/31/2018 11:09:57 PM,7459,13441,4585,6312,6329,5156,5628,220700,45,64,91,255
12/31/2018 11:09:58 PM,30186,30320,19793,18102,7467,4963,6265,184941,45,60,100,255
12/31/2018 11:09:59 PM,1866,26305,20796,8615,11198,8418,4558,219840,45,61,97,255
12/31/2018 11:10:00 PM,31542,1201,6478,2872,7297,23293,4213,279537,45,75,74,255
12/31/2018 11:10:01 PM,7165,1858,4700,8846,9059,7672,3722,263051,45,81,61,255
12/31/2018 11:10:02 PM,45540,49654,12145,2272,24891,26520,9041,173093,45,90,63,255
12/31/2018 11:10:03 PM,27155,27006,14062,4020,7711,15166,9357,159951,45,84,56,255
12/31/2018 11:10:04 PM,10112,18964,8360,3511,15486,5611,9976,179535,45,83,64,255
12/31/2018 11:10:05 PM,21728,34855,22004,5652,14085,21975,7381,197883,45,80,97,255
12/31/2018 11:10:06 PM,60031,27074,20306,9578,7680,13899,12672,194244,45,69,93,255
12/31/2018 11:10:07 PM,397818,20626,3717,4670,16004,42101,7066,227779,45,81,87,255
12/31/2018 11:10:08 PM,19380,13071,4710,3866,9816,5590,6894,198804,45,74,75,255
12/31/2018 11:10:09 PM,15590,7798,1920,3404,12576,9099,3207,235776,45,84,56,255
12/31/2018 11:10:10 PM,6153,2691,5908,3553,15930,9816,13246,173468,45,100,40,255
12/31/2018 11:10:11 PM,71925,28351,75500,10757,9271,10763,7766,186859,45,90,56,255
12/31/2018 11:10:12 PM,13019,8706,7325,4807,2214,7755,1107,46259,45,84,69,255
12/31/2018 11:10:13 PM,43849,20984,4622,6833,13226,59270,7961,190344,45,77,77,255
