Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
12/31/2018 11:37:59 PM,7795,3422,2877,7008,8356,59814,1191,203920,63,80,14,255
12/31/2018 11:38:00 PM,6434,7112,10831,7250,5471,6809,3354,302755,63,94,23,255
12/31/2018 11:38:01 PM,2854,2002,2998,2614,7005,4546,4290,201453,63,94,24,255
12/31/2018 11:38:02 PM,3202,4182,5352,4667,5229,5930,3407,205387,63,100,48,255
12/31/2018 11:38:03 PM,3320,5246,3275,1708,5576,25657,4266,199192,63,100,63,255
12/31/2018 11:38:04 PM,3574,2357,9776,8901,7171,4906,3594,195379,63,100,56,255
12/31/2018 11:38:05 PM,2131,1923,2730,1082,7606,4950,2028,196662,63,100,56,255
12/31/2018 11:38:06 PM,3403,9031,6476,5395,5023,4371,2033,170359,63,100,64,255
12/31/2018 11:38:07 PM,6128,9267,1971,4884,5168,5196,2281,194115,63,100,78,255
12/31/2018 11:38:08 PM,5169,5757,1297,3883,9416,11196,5068,174333,63,100,69,255
12/31/2018 11:38:09 PM,4174,2137,3917,1041,11812,4696,3970,159144,63,100,67,255
12/31/2018 11:38:10 PM,2255,7928,9316,6625,6971,6861,6730,202691,63,100,66,255
12/31/2018 11:38:11 PM,2159,1169,1676,7624,3701,7360,7289,204051,63,100,47,255
12/31/2018 11:38:12 PM,1003,4044,3083,5086,5486,12580,3559,159027,63,100,47,255
12/31/2018 11:38:13 PM,3654,7720,4650,7480,6974,16029,2681,175364,63,87,50,255
12/31/2018 11:38:14 PM,8528,16318,7809,14727,15960,10232,9561,182330,63,91,43,255
12/31/2018 11:38:15 PM,2586,12706,3119,7791,3946,9974,3160,161571,63,83,64,255
12/31/2018 11:38:16 PM,3693,23349,11718,3173,12561,19142,4519,224449,63,81,80,255
12/31/2018 11:38:17 PM,5218,4184,7486,1616,15344,6965,4413,166501,63,91,81,255
12/31/2018 11:38:18 PM,1441,7397,6357,6128,9617,11392,2799,190311,63,90,80,255
12/31/2018 11:38:19 PM,5973,2196,2914,4081,5782,10305,2831,185793,63,96,66,255
12/31/2018 11:38:20 PM,158109,10243,3536,7456,3997,4119,2135,167790,37,96,63,255
12/31/2018 11:38:21 PM,6088,32467,34852,6451,10273,207895,4980,170504,37,69,57,255
12/31/2018 11:38:22 PM,12357,877,6027,8786,10693,25108,4244,175426,37,69,44,255
12/31/2018 11:38:23 PM,93777,18295,18018,6485,5425,5757,3149,171831,37,60,69,255
12/31/2018 11:38:24 PM,2928,2299,8355,7189,11027,70356,4078,160438,37,56,44,255
