Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
12/31/2018 10:46:34 PM,36232,3597,10152,5793,17399,38681,18881,312933,60,77,44,255
12/31/2018 10:46:35 PM,63124,5062,18961,5884,5240,111401,1782,132225,60,61,37,255
12/31/2018 10:46:36 PM,480862,13468,16434,7468,7732,41912,24073,520831,60,51,35,255
12/31/2018 10:46:37 PM,747608,17013,6085,7561,9519,170453,8384,537893,60,41,23,255
12/31/2018 10:46:38 PM,403412,16945,16369,7067,3535,52738,6030,513967,60,24,29,255
12/31/2018 10:46:39 PM,5347,20229,70719,17802,14538,313979,2964,572267,60,24,34,255
12/31/2018 10:46:40 PM,1174351,21534,4890,11829,5132,10145,4596,561653,60,26,37,255
12/31/2018 10:46:41 PM,1351360,27842,26183,18695,12199,68780,4983,469963,60,30,48,255
12/31/2018 10:46:42 PM,218343,57686,40247,30962,20416,280852,7764,526421,60,34,41,255
12/31/2018 10:46:43 PM,340609,19393,18468,32727,8049,63370,4292,547535,60,40,44,255
12/31/2018 10:46:44 PM,2222161,30156,35735,18828,12276,158098,4739,546786,59,30,38,255
12/31/2018 10:46:45 PM,184896,32262,54820,28543,20845,145268,11286,616913,59,29,37,255
12/31/2018 10:46:46 PM,559229,4824,2799,5228,2220,46222,3148,128398,59,27,30,255
12/31/2018 10:46:47 PM,163017,3603,6414,5331,3130,57137,1901,149701,59,23,23,255
12/31/2018 10:46:48 PM,757990,36762,29607,10290,6706,26971,6975,541636,59,26,35,255
12/31/2018 10:46:49 PM,955753,38726,31665,21349,5436,128570,11856,567153,59,16,35,255
12/31/2018 10:46:50 PM,439555,25020,1759,5470,7492,39885,2961,150679,59,24,44,255
12/31/2018 10:46:51 PM,898944,41720,29837,9117,11898,180495,5985,505641,59,24,53,255
12/31/2018 10:46:52 PM,427508,28473,9930,22357,6983,115247,5630,658048,59,20,38,255
12/31/2018 10:46:53 PM,6379,2182,18723,12445,15648,132802,8708,683469,59,30,29,255
12/31/2018 10:46:54 PM,341758,20454,4757,6378,10890,22519,6759,613359,59,38,30,255
12/31/2018 10:46:55 PM,136168,24792,22298,21417,17448,106291,5033,659301,59,47,29,255
12/31/2018 10:46:56 PM,117351,47683,11048,7895,7300,36278,5029,633009,59,51,41,255
12/31/2018 10:46:57 PM,12575,9005,9184,3121,5273,49850,9894,628615,59,48,48,255
12/31/2018 10:46:58 PM,377962,9110,10234,4650,10917,30244,7464,590178,34,48,44,255
12/31/2018 10:46:59 PM,5843,6729,15576,10211,14059,34873,4716,589834,34,53,44,255
