Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
12/31/2018 10:38:33 PM,15014,4926,1835,14854,3895,7609,6174,127404,50,66,53,255
12/31/2018 10:38:34 PM,80740,23739,5113,7457,4945,11010,5004,132291,42,66,56,255
12/31/2018 10:38:35 PM,1715,15039,2148,2482,1624,23446,1140,30885,42,54,60,255
12/31/2018 10:38:36 PM,8141,3046,5656,2607,4062,13592,3688,128264,42,43,64,255
12/31/2018 10:38:37 PM,16538,2451,1228,2495,8362,8708,5243,115797,42,51,61,255
12/31/2018 10:38:38 PM,10440,1695,3249,14772,4843,3741,5597,107361,42,64,47,255
12/31/2018 10:38:39 PM,1938,20175,3376,11709,5427,22226,3018,102951,42,74,47,255
12/31/2018 10:38:40 PM,22629,875,6198,9259,7530,20166,6181,143817,42,77,38,255
12/31/2018 10:38:41 PM,530,11901,3108,2265,7688,5606,8194,108246,42,70,50,255
12/31/2018 10:38:42 PM,2099,4676,6267,2091,7477,6508,2024,120394,42,69,60,255
12/31/2018 10:38:43 PM,3477,5230,7411,2409,5737,6609,2485,113174,42,78,63,255
12/31/2018 10:38:44 PM,8397,1760,3322,11323,12753,10286,2292,97761,42,87,61,255
12/31/2018 10:38:45 PM,3254,9539,9716,8357,9622,4695,2051,57881,42,88,60,255
12/31/2018 10:38:46 PM,27132,3269,4937,4613,4991,9031,5946,86120,42,83,57,255
12/31/2018 10:38:47 PM,3633,531,3745,6549,7570,7644,3481,102754,42,91,47,255
12/31/2018 10:38:48 PM,1766,2381,6104,3871,8115,10832,3951,83386,42,84,54,255
12/31/2018 10:38:49 PM,10256,2068,2945,3335,6248,5295,1876,67378,42,88,47,255
12/31/2018 10:38:50 PM,3020,7581,1928,9164,4707,17077,3280,84682,42,84,43,255
12/31/2018 10:38:51 PM,9449,10717,7562,16914,5760,28588,4190,63086,42,70,47,255
12/31/2018 10:38:52 PM,1472,3869,5147,5585,4691,4608,5906,80102,42,69,51,255
12/31/2018 10:38:53 PM,9312,398,4124,2248,6036,5418,4008,63686,42,69,51,255
12/31/2018 10:38:54 PM,9005,19403,6420,2713,16737,5821,5393,74838,42,78,61,255
12/31/2018 10:38:55 PM,12139,4640,5454,10576,5432,13097,3285,74178,42,83,60,255
12/31/2018 10:38:56 PM,10921,7043,2357,5274,7111,5607,2549,80094,42,87,60,255
12/31/2018 10:38:57 PM,2001,6885,5668,7564,7823,2763,5687,69388,42,87,64,255
12/31/2018 10:38:58 PM,4145,1066,5824,2623,5624,18839,10151,66440,42,78,54,255
