Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
12/31/2018 11:01:42 PM,144602,102317,116698,22409,16088,80977,7095,341939,63,26,43,255
12/31/2018 11:01:43 PM,19443,18658,13671,8621,8935,119200,6658,337076,63,13,41,255
12/31/2018 11:01:44 PM,80853,381,3097,11140,7357,21183,9717,298909,63,29,30,255
12/31/2018 11:01:45 PM,101102,12002,14102,6983,5735,44257,7333,290396,63,27,43,255
12/31/2018 11:01:46 PM,1694630,50348,22414,12451,2482,118477,5239,312124,63,17,24,255
12/31/2018 11:01:47 PM,200106,35742,31898,3372,5230,162122,5769,247025,63,10,35,255
12/31/2018 11:01:48 PM,61424,2564,7996,12397,12228,33801,5595,224518,63,10,44,255
12/31/2018 11:01:49 PM,149202,4509,2843,3534,5837,8695,10461,264554,63,23,43,255
12/31/2018 11:01:50 PM,1597410,5370,3248,2822,1551,9553,1194,65861,63,40,47,255
12/31/2018 11:01:51 PM,302372,31930,43865,11704,11470,154723,10511,257375,63,47,48,255
12/31/2018 11:01:52 PM,870688,3173,14706,4619,2749,10526,847,57634,63,38,74,255
12/31/2018 11:01:53 PM,78699,62711,12805,11573,3927,83588,5473,210150,63,16,81,255
12/31/2018 11:01:54 PM,30944,9930,4418,1573,2390,15087,3682,47639,63,14,83,255
12/31/2018 11:01:55 PM,8018,16681,17090,11910,4665,14664,8913,191790,63,21,96,255
12/31/2018 11:01:56 PM,5561,28658,2860,6416,9601,5550,7271,195536,63,29,100,255
12/31/2018 11:01:57 PM,29772,2602,6722,7641,7193,15067,7783,176267,63,51,90,255
12/31/2018 11:01:58 PM,795277,7024,2054,3287,9260,8565,5835,186383,63,67,81,255
12/31/2018 11:01:59 PM,32538,11581,8925,7692,8284,26320,5483,188860,63,74,69,255
12/31/2018 11:02:00 PM,86399,1581,2285,2773,8742,6762,10646,181851,63,83,43,255
12/31/2018 11:02:01 PM,64968,3461,4803,10437,10221,21352,11571,163978,63,83,37,255
12/31/2018 11:02:02 PM,9771,12709,11730,11070,12381,36559,3476,214585,63,75,37,255
12/31/2018 11:02:03 PM,6844,7608,6872,1145,3821,9173,5582,169785,63,74,48,255
12/31/2018 11:02:04 PM,2315,18966,5497,5824,4850,13683,9635,173308,63,57,67,255
12/31/2018 11:02:05 PM,141560,16166,3573,5651,6448,8030,4975,154478,63,54,90,255
12/31/2018 11:02:06 PM,117677,14347,11101,4285,4894,22298,2345,40650,63,48,100,255
12/31/2018 11:02:07 PM,10500,20552,18231,16245,11475,14084,2294,159396,63,51,97,255
